n v tiempo llamadas
9 3025 0.010433 1023
10 3025 0.029359 2047
11 3025 0.039355 4095
12 3025 0.077899 8191
13 3025 0.153081 16383
14 3025 0.306355 32767
15 3025 0.618084 65535
16 3025 1.22422 131071
17 3025 2.47247 262143
18 3025 4.7931 524287
19 3025 9.22709 1048575
20 3025 18.3859 2097151
21 3025 36.314 4194303
22 3025 72.2607 8388607
23 3025 144.187 16777215
24 3025 285.724 33554431
25 3025 586.368 67108863
26 3025 1142.96 134217727
27 3025 2333.35 268435455
28 3025 4619.68 536870911
29 3025 9163.98 1073741823
1 3364 0.000234 3
2 3364 0.000412 7
3 3364 0.000497 15
4 3364 0.000768 31
5 3364 0.000942 63
6 3364 0.001699 127
7 3364 0.004738 255
8 3364 0.005566 511
9 3364 0.010618 1023
10 3364 0.020084 2047
11 3364 0.038976 4095
12 3364 0.077051 8191
13 3364 0.153826 16383
14 3364 0.306059 32767
15 3364 0.610537 65535
16 3364 1.22931 131071
17 3364 2.41119 262143
18 3364 5.06874 524287
19 3364 9.23241 1048575
20 3364 18.3848 2097151
21 3364 36.736 4194303
22 3364 72.3241 8388607
23 3364 143.559 16777215
24 3364 290.488 33554431
25 3364 587.06 67108863
26 3364 1150.62 134217727
27 3364 2350.95 268435455
28 3364 4618.43 536870911
29 3364 9146.61 1073741823
1 3721 0.000288 3
2 3721 0.000397 7
3 3721 0.000522 15
4 3721 0.000673 31
5 3721 0.001134 63
6 3721 0.002698 127
7 3721 0.002973 255
8 3721 0.005598 511
9 3721 0.010371 1023
10 3721 0.020139 2047
11 3721 0.039117 4095
12 3721 0.077074 8191
13 3721 0.153087 16383
14 3721 0.306485 32767
15 3721 0.611046 65535
16 3721 1.22436 131071
17 3721 2.43203 262143
18 3721 4.76666 524287
19 3721 9.29603 1048575
20 3721 18.3352 2097151
21 3721 36.2171 4194303
22 3721 72.8745 8388607
23 3721 144.513 16777215
24 3721 286.491 33554431
25 3721 577.396 67108863
26 3721 1147.86 134217727
27 3721 2365.1 268435455
28 3721 4628.45 536870911
29 3721 9174 1073741823
1 4096 0.000324 3
2 4096 0.000417 7
3 4096 0.000612 15
4 4096 0.000721 31
5 4096 0.001105 63
6 4096 0.001712 127
7 4096 0.002967 255
8 4096 0.005678 511
9 4096 0.012567 1023
10 4096 0.020006 2047
11 4096 0.061478 4095
12 4096 0.077108 8191
13 4096 0.153827 16383
14 4096 0.305975 32767
15 4096 0.610037 65535
16 4096 1.23383 131071
17 4096 2.42175 262143
18 4096 4.76693 524287
19 4096 9.30895 1048575
20 4096 18.495 2097151
21 4096 36.3009 4194303
22 4096 72.9847 8388607
23 4096 144.922 16777215
24 4096 290.17 33554431
25 4096 593.634 67108863
26 4096 1144.55 134217727
27 4096 2329.73 268435455
28 4096 4619.3 536870911
29 4096 9157.55 1073741823
1 4489 0.000295 3
2 4489 0.000517 7
3 4489 0.000598 15
4 4489 0.000686 31
5 4489 0.00115 63
6 4489 0.001859 127
7 4489 0.003107 255
8 4489 0.0057 511
9 4489 0.010275 1023
10 4489 0.020238 2047
11 4489 0.039406 4095
12 4489 0.077184 8191
13 4489 0.153516 16383
14 4489 0.306762 32767
15 4489 0.610142 65535
16 4489 1.22325 131071
17 4489 2.4345 262143
18 4489 4.81823 524287
19 4489 9.88346 1048575
20 4489 18.3793 2097151
21 4489 36.2394 4194303
22 4489 72.4038 8388607
23 4489 143.493 16777215
24 4489 286.142 33554431
25 4489 578.657 67108863
26 4489 1142.54 134217727
27 4489 2342.84 268435455
28 4489 4630.58 536870911
29 4489 9171.15 1073741823
1 4900 0.000231 3
2 4900 0.000319 7
3 4900 0.000734 15
4 4900 0.000758 31
5 4900 0.001166 63
6 4900 0.001787 127
7 4900 0.002933 255
8 4900 0.005474 511
9 4900 0.010174 1023
10 4900 0.019953 2047
11 4900 0.039338 4095
12 4900 0.077387 8191
13 4900 0.156781 16383
14 4900 0.306207 32767
15 4900 0.611066 65535
16 4900 1.22355 131071
17 4900 2.44401 262143
18 4900 4.79517 524287
19 4900 9.34184 1048575
20 4900 18.2487 2097151
21 4900 36.1035 4194303
22 4900 72.5523 8388607
23 4900 143.87 16777215
24 4900 285.869 33554431
25 4900 576.061 67108863
26 4900 1149.35 134217727
27 4900 2336.24 268435455
28 4900 4625.13 536870911
29 4900 9158.15 1073741823
1 5329 0.000309 3
2 5329 0.000376 7
3 5329 0.000603 15
4 5329 0.000751 31
5 5329 0.00114 63
6 5329 0.001771 127
7 5329 0.003016 255
8 5329 0.00564 511
9 5329 0.010195 1023
10 5329 0.020102 2047
11 5329 0.039353 4095
12 5329 0.077286 8191
13 5329 0.158436 16383
14 5329 0.306151 32767
15 5329 0.611259 65535
16 5329 1.22658 131071
17 5329 2.42059 262143
18 5329 4.77405 524287
19 5329 9.32923 1048575
20 5329 18.4402 2097151
21 5329 36.2915 4194303
22 5329 72.4815 8388607
23 5329 144.18 16777215
24 5329 286.765 33554431
25 5329 576.566 67108863
26 5329 1160.18 134217727
27 5329 2335.54 268435455
28 5329 4630.52 536870911
29 5329 9293.4 1073741823
1 5776 0.000258 3
2 5776 0.000461 7
3 5776 0.000479 15
4 5776 0.000698 31
5 5776 0.001126 63
6 5776 0.001705 127
7 5776 0.002887 255
8 5776 0.005499 511
9 5776 0.010356 1023
10 5776 0.020159 2047
11 5776 0.039555 4095
12 5776 0.077126 8191
13 5776 0.153759 16383
14 5776 0.305862 32767
15 5776 0.623624 65535
16 5776 1.22543 131071
17 5776 2.42855 262143
18 5776 4.80696 524287
19 5776 9.32142 1048575
20 5776 18.4094 2097151
21 5776 36.3131 4194303
22 5776 72.6667 8388607
23 5776 144.325 16777215
24 5776 287.287 33554431
25 5776 588.742 67108863
26 5776 1162.28 134217727
27 5776 2339.73 268435455
28 5776 4606.93 536870911
29 5776 9175.28 1073741823
1 6241 0.000305 3
2 6241 0.000355 7
3 6241 0.000632 15
4 6241 0.000673 31
5 6241 0.001102 63
6 6241 0.001764 127
7 6241 0.003023 255
8 6241 0.007879 511
9 6241 0.010429 1023
10 6241 0.019681 2047
11 6241 0.039493 4095
12 6241 0.077558 8191
13 6241 0.157871 16383
14 6241 0.306103 32767
15 6241 0.629284 65535
16 6241 1.23107 131071
17 6241 2.44734 262143
18 6241 4.72354 524287
19 6241 9.46499 1048575
20 6241 18.3131 2097151
21 6241 36.2853 4194303
22 6241 72.3801 8388607
23 6241 143.74 16777215
24 6241 288.205 33554431
25 6241 582.631 67108863
26 6241 1143.94 134217727
27 6241 2321.13 268435455
28 6241 4634.89 536870911
29 6241 9183.14 1073741823
